Original Label,Final Label
age,harassment
ethnicity,hate_speech
gender,harassment
not_cyberbullying,normal
other_cyberbullying,insult
religion,hate_speech
HS=0 & Abusive=0,normal
HS=0 & Abusive=1,insult
HS=1 & (HS_Religion=1 | HS_Race=1),hate_speech
HS=1 & HS_Physical=1,threat
HS=1 & HS_Gender=1,harassment
HS=1 & HS_Other=1 (default),hate_speech
threat_incitement_to_violence=1,threat
identity_attack=1,hate_speech
insults=1,insult
sexually_explicit=1,sexually_explicit
profanity_obscenity=1,harassment
all annotations=0,normal
