mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.340375471115112,0.2897123567078277,0.05470166206359863,0.010777689027018394,0.1,balanced,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'solver': 'lbfgs'}",0.6122136860191497,0.6089906042501755,0.5934691651775595,0.598207749805008,0.6265951732036849,0.6078952756911155,0.011588748006040124,6
138.31168560981752,3.820336879589123,0.02987527847290039,0.006735583189002188,0.1,balanced,saga,"{'C': 0.1, 'class_weight': 'balanced', 'solver': 'saga'}",0.5892734637436056,0.0722946745781442,0.5853706914302819,0.44708289798674017,0.58197470938401,0.45519928742455634,0.19883375221828808,10
6.30759630203247,0.494261008910603,0.07269272804260254,0.015804757978816485,0.1,,lbfgs,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}",0.3578548664741813,0.3617936683912294,0.35733266202743263,0.35478853707999697,0.3560178577029086,0.3575575183351498,0.002371571446378537,11
3.6103688716888427,0.7241001038022044,0.06029300689697266,0.022987713415799162,0.1,,saga,"{'C': 0.1, 'class_weight': None, 'solver': 'saga'}",0.3576054998592402,0.3611758728835285,0.3579222188751273,0.35485509908494745,0.35530979750448133,0.357373697641465,0.002254513998521098,12
13.337631845474244,1.5392296738021043,0.058521270751953125,0.017105551857671354,1.0,balanced,lbfgs,"{'C': 1.0, 'class_weight': 'balanced', 'solver': 'lbfgs'}",0.6578381484942544,0.667781170299719,0.6564568555697176,0.6565166592726401,0.687221297926323,0.6651628263125307,0.011812137244120426,4
133.40310802459717,2.981279013555259,0.030109214782714843,0.014577571769575847,1.0,balanced,saga,"{'C': 1.0, 'class_weight': 'balanced', 'solver': 'saga'}",0.5814285021967708,0.5443106774194191,0.5994066088629859,0.6337988063264994,0.6544016814403567,0.6026692552492063,0.038762948618205055,9
12.331891107559205,0.6066702373131264,0.05277762413024902,0.010928328597843314,1.0,,lbfgs,"{'C': 1.0, 'class_weight': None, 'solver': 'lbfgs'}",0.6098776528552188,0.5989264377681819,0.6067621441753674,0.6011855229499354,0.6093929476661711,0.6052289410829749,0.0044129573286038415,7
3.716327953338623,0.27342694292745934,0.05627617835998535,0.014992306604391353,1.0,,saga,"{'C': 1.0, 'class_weight': None, 'solver': 'saga'}",0.6094363777606351,0.5987932339284379,0.605753058707488,0.6032490078925393,0.6057862310479702,0.604603581867414,0.0035120047283864354,8
20.00179829597473,0.6856118528199558,0.04204392433166504,0.007383038888998794,10.0,balanced,lbfgs,"{'C': 10.0, 'class_weight': 'balanced', 'solver': 'lbfgs'}",0.6680690994926919,0.676191652989648,0.6707067915127595,0.6744525534555467,0.6941281507854562,0.6767096496472205,0.009159261961684822,1
102.8374523639679,4.982331876937244,0.014986181259155273,0.0013195449950043209,10.0,balanced,saga,"{'C': 10.0, 'class_weight': 'balanced', 'solver': 'saga'}",0.6378156093903062,0.6219400540582591,0.602003962434343,0.6372981423201154,0.669641232273916,0.6337398000953879,0.0222017307967429,5
14.90497555732727,1.1044621232715937,0.03574624061584473,0.003430856258667617,10.0,,lbfgs,"{'C': 10.0, 'class_weight': None, 'solver': 'lbfgs'}",0.666952113960616,0.663319963954916,0.6561238971964747,0.6691281146404353,0.6837655562636087,0.6678579292032102,0.009096890751473234,2
6.148439836502075,0.8093143119967154,0.03243231773376465,0.006802810126234979,10.0,,saga,"{'C': 10.0, 'class_weight': None, 'solver': 'saga'}",0.666673306173537,0.6629272156789602,0.6552775978719134,0.6723080213307768,0.6818074565161385,0.6677987195142652,0.008925862504514617,3
