mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
260.4861307144165,4.989725928229679,2.432100772857666,0.3886942165695878,1.0,300,3,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.5764988070346866,0.5529318552172393,0.5825121140367117,0.5659123405374389,0.5601904128584052,0.5676091059368964,0.01071880725204568,5
1000.4438562393188,8.213125268407252,3.631177043914795,0.4564890370538586,0.8,300,6,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.45949813512604254,0.4690176459279327,0.46219101017874314,0.46123440068708954,0.4612708459614462,0.46264240757625086,0.0033044678105710844,7
277.37602229118346,2.869267576932413,1.4733903408050537,0.20613763124877946,0.8,300,3,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.3839347214395548,0.3843139839075209,0.37371738471054117,0.3836068421918689,0.3669018108820138,0.37849494862629995,0.007025805511352834,9
735.8909638404846,10.774608453815608,4.810095500946045,0.4688191439326795,1.0,300,6,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6208305035888609,0.6027436838654241,0.6247667146360272,0.6100372789574162,0.6087380297237893,0.6134232421543035,0.008136471193813652,2
758.4233112335205,5.326475190750647,1.7356114387512207,0.3522250892265595,0.8,200,6,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.39414914479061847,0.41645766334450807,0.4105735407933366,0.4135916301133544,0.4110434408655096,0.40916308398146545,0.007794439163685517,8
1207.6454150676727,117.20203587788977,1.031735372543335,0.5295794663315789,1.0,100,9,0.01,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.33940003658959145,0.34912696649933356,0.3408075896928586,0.34763155632063814,0.3480170980013595,0.34499664942075625,0.004049584170122975,10
744.8595536231994,63.418395790298256,2.2058502674102782,0.3496804226706001,0.8,100,9,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6065130420874244,0.5735249312729189,0.6012002064414773,0.5885253102843102,0.5855443034983527,0.5910615587168967,0.011712783438620047,4
342.63440971374513,15.557882387974155,2.9793936729431154,0.4152681271351298,1.0,200,6,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.634196008236825,0.6168560860389644,0.6358814295438399,0.6282812965507919,0.6280050698924936,0.628643978052583,0.006673827730598604,1
226.6951804637909,15.716324759273533,2.5231547355651855,0.48913169029645803,1.0,300,3,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.6073159455949017,0.5966039027519832,0.6141161099292289,0.6040136270895663,0.6118369039041733,0.6067772978539706,0.006178733874236386,3
664.2453118801117,70.86604266296979,0.5055536270141602,0.25713344381158054,1.0,300,6,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.4647466318021457,0.46799514647972884,0.46094772015476915,0.4683716875199402,0.46512866592848556,0.46543797037701384,0.0026788733161665253,6
