Class,Feature,Weight,Direction,Rank
harassment,syiah,3.590834994466093,Positive,1
harassment,israel,2.7931848156679773,Positive,2
harassment,gay,2.755752947250352,Positive,3
harassment,kadrun,2.6713975147710878,Positive,4
harassment,lgbt,2.6653071589995245,Positive,5
harassment,zionis,2.536161068766153,Positive,6
harassment,setara,2.2383350062384375,Positive,7
harassment,untung aku,2.210035337897639,Positive,8
harassment,oleh pasukan,2.1682972428336567,Positive,9
harassment,rempang,2.10400092452579,Positive,10
harassment,kesesatan,2.0934963574694345,Positive,11
harassment,aku punya,2.0908195245649353,Positive,12
harassment,hamas yg,2.069794528806664,Positive,13
harassment,drun,2.062090887587393,Positive,14
harassment,gasih,2.0562365071007145,Positive,15
harassment,neraka,2.0506628457629783,Positive,16
harassment,tengil,2.0356518474004024,Positive,17
harassment,setanyahu,2.0330762283432655,Positive,18
harassment,anis,2.0215786776776508,Positive,19
harassment,dajjal,2.012127876993191,Positive,20
hate_speech,cebong,4.450196139005006,Positive,1
hate_speech,ahok,3.449264109842853,Positive,2
hate_speech,usir,3.3799267661229644,Positive,3
hate_speech,lengserkan,3.358716632735339,Positive,4
hate_speech,negro,3.129351586104507,Positive,5
hate_speech,pemerkosaan,2.7844453568390297,Positive,6
hate_speech,picek,2.7454004900402946,Positive,7
hate_speech,lelucon,2.710897619850439,Positive,8
hate_speech,diktator,2.681268598956191,Positive,9
hate_speech,ur,2.6619680313941205,Positive,10
hate_speech,sontoloyo,2.6279296467992115,Positive,11
hate_speech,dasar,2.6168791798727646,Positive,12
hate_speech,otoriter,2.5928612716550714,Positive,13
hate_speech,sandi,2.5381760911465783,Positive,14
hate_speech,kacrut,2.502269119094969,Positive,15
hate_speech,kapir,2.4626020394369066,Positive,16
hate_speech,bejat,2.4074087097506776,Positive,17
hate_speech,muslim,2.3986559857835585,Positive,18
hate_speech,bubarkan,2.300695097021775,Positive,19
hate_speech,kacung,2.277373859189311,Positive,20
insult,titit,4.15183108444228,Positive,1
insult,memek,4.039656865526331,Positive,2
insult,gembel,3.7940625004463815,Positive,3
insult,edan,3.213475705742355,Positive,4
insult,silit,3.1384492869289993,Positive,5
insult,asw,3.045510440328344,Positive,6
insult,anjir,2.9569767121868447,Positive,7
insult,nete,2.902187198874121,Positive,8
insult,ngentot,2.824656915599444,Positive,9
insult,jancuk,2.7503130815460004,Positive,10
insult,sarap,2.672839214394375,Positive,11
insult,ngewe,2.6602917126330494,Positive,12
insult,kunyuk,2.596780873281176,Positive,13
insult,bukan anak,2.5527221437187118,Positive,14
insult,orang gila,2.482595909404006,Positive,15
insult,kontol,2.471876027902986,Positive,16
insult,kntl,2.435801820111064,Positive,17
insult,gembrot,2.2475729181135455,Positive,18
insult,bodo,2.244846700280502,Positive,19
insult,bokong,2.181681939406035,Positive,20
normal,katolik,2.2433569764275925,Positive,1
normal,gila,2.0558873500008787,Positive,2
normal,kunti,2.029054840313188,Positive,3
normal,budaya,1.9426339715730654,Positive,4
normal,bisu,1.8643744548540775,Positive,5
normal,sipit,1.8202679427422892,Positive,6
normal,joo,1.7828160183906423,Positive,7
normal,ekonomi,1.777937363185541,Positive,8
normal,pilkada,1.6926176432239222,Positive,9
normal,china,1.6903654183637917,Positive,10
normal,papua,1.6414901323123279,Positive,11
normal,bom,1.637607049180244,Positive,12
normal,liberal,1.5590051981412476,Positive,13
normal,asing,1.545797123697274,Positive,14
normal,buaya,1.423728040464641,Positive,15
normal,beliau,1.420198640702784,Positive,16
normal,mengenal,1.4048879243258943,Positive,17
normal,korea,1.4007508594542646,Positive,18
normal,klaim,1.3531387873834286,Positive,19
normal,chinese,1.3167033678137032,Positive,20
